"cron_schedule","cron_schedule_described"
"0 */2 * * * *","Every 2 minutes"
"0 */2 * * 6,0","Every 2 hours, only on Saturday and Sunday"
"0 */2 * * 6-7","Every 2 hours, Saturday through Sunday"
"0 */3 * * *","Every 3 hours"
"0 */3 * * * *","Every 3 minutes"
"0 */30 * * * *","Every 30 minutes"
"0 */4 * * *","Every 4 hours"
"0 */4 * * * *","Every 4 minutes"
"0 */5 * * * *","Every 5 minutes"
"0 */6 * * *","Every 6 hours"
"0 */8 * * *","Every 8 hours"
"0 0 * * *","At 12:00 AM"
"0 0 * * * *","Every hour"
"0 0 * * 0","At 12:00 AM, only on Sunday"
"0 0 * * 1","At 12:00 AM, only on Monday"
"0 0 * * 2","At 12:00 AM, only on Tuesday"
"0 0 * * 3","At 12:00 AM, only on Wednesday"
"0 0 * * 6","At 12:00 AM, only on Saturday"
"0 0 */12 * * *","Every 12 hours"
"0 0 */2 * * *","Every 2 hours"
"0 0 */3 * * *","Every 3 hours"
"0 0 */4 * * *","Every 4 hours"
"0 0 */6 * * *","Every 6 hours"
"0 0 */8 * * *","Every 8 hours"
"0 0 0 * * *","At 12:00 AM"
"0 0 0/2 * * *","Every even hour"
"0 0 1 * *","At 12:00 AM, on day 1 of the month"
"0 0 1 * * *","Every day at 1am"
"0 0 1 1 *","At 12:00 AM, on day 1 of the month, only in January"
"0 0 1 1 1","At 12:00 AM, on day 1 of the month, only on Monday, only in January"
"0 0 1/2 * * *","Every uneven hour"
"0 0 12 * * *","Every day at noon - 12pm"
"0 0 12 * * 2#1","At 12:00 PM, on the first Tuesday of the month"
"0 0 12 * * 2#2","At 12:00 PM, on the second Tuesday of the month"
"0 0 12 * * 5#3","At 12:00 PM, on the third Friday of the month"
"0 0 12 * * 6#1","At 12:00 PM, on the first Saturday of the month"
"0 0 12 * * FRI","At 12:00 PM, only on Friday"
"0 0 12 * * MON","At 12:00 PM, only on Monday"
"0 0 12 * * MON-FRI","Every Weekday at noon"
"0 0 12 * * SAT","Every Saturday at noon"
"0 0 12 * * SUN","Every Sunday at noon"
"0 0 12 * * SUN,SAT","Every Saturday and Sunday at noon"
"0 0 12 * * THU","Every Thursday at noon"
"0 0 12 * * TUE","Every Tuesday at noon"
"0 0 12 * * WED","Every Wednesday at noon"
"0 0 12 * 9-12 *","At 12:00 PM, September through December"
"0 0 12 * DEC *","Every day at noon in December only"
"0 0 12 * JAN *","Every day at noon in January only"
"0 0 12 * JAN,FEB,MAR,APR *","Every day at noon in January, February, March and April"
"0 0 12 * JAN,JUN *","Every day at noon in January and June"
"0 0 12 * JUN *","Every day at noon in June only"
"0 0 12 */7 * *","Every 7 days at noon"
"0 0 12 1 * *","Every month on the 1st, at noon"
"0 0 12 1/2 * *","At 12:00 PM, every 2 days"
"0 0 12 1/4 * *","At 12:00 PM, every 4 days"
"0 0 12 15 * *","Every month on the 15th, at noon"
"0 0 12 15W * *","Every month on the nearest Weekday to the 15th of the month, at noon"
"0 0 12 1L * *","Every month on the last Sunday, at noon"
"0 0 12 1W * *","Every month on the nearest Weekday to the 1st of the month, at noon"
"0 0 12 2 * *","Every month on the 2nd, at noon"
"0 0 12 2L * *","Every month on the last Monday, at noon"
"0 0 12 6L * *","Every month on the last Friday, at noon"
"0 0 12 L * *","Every month on the last day of the month, at noon"
"0 0 12 L-2 * *","Every month on the second to last day of the month, at noon"
"0 0 12 LW * *","Every month on the last weekday, at noon"
"0 0 2 * *","At 12:00 AM, on day 2 of the month"
"0 0 29 2 1","At 12:00 AM, on day 29 of the month, only on Monday, only in February"
"0 0 3 * *","At 12:00 AM, on day 3 of the month"
"0 0 31 * *","At 12:00 AM, on day 31 of the month"
"0 0 31 02 0","At 12:00 AM, on day 31 of the month, only on Sunday, only in February"
"0 0 4 * *","At 12:00 AM, on day 4 of the month"
"0 0 5 * *","At 12:00 AM, on day 5 of the month"
"0 0 6 * * *","Every day at 6am"
"0 0 7 * *","At 12:00 AM, on day 7 of the month"
"0 0,12 * * *","At 12:00 AM and 12:00 PM"
"0 0,2,4,6,8 * * 1-5","At 12:00 AM, 02:00 AM, 04:00 AM, 06:00 AM and 08:00 AM, Monday through  Friday"
"0 0,4,8,12,16,20 * * *","At 12:00 AM, 04:00 AM, 08:00 AM, 12:00 PM, 04:00 PM and 08:00  PM"
"0 0,6,12,18 * * *","At 12:00 AM, 06:00 AM, 12:00 PM and 06:00 PM"
"0 09-18 * * *","Between 09:00 AM and 06:59 PM"
"0 1 * * *","At 01:00 AM"
"0 1 * * 0","At 01:00 AM, only on Sunday"
"0 1 * * 1","At 01:00 AM, only on Monday"
"0 1 * * 1-5","At 01:00 AM, Monday through Friday"
"0 1 10 * *","At 01:00 AM, on day 10 of the month"
"0 1 29 2 2","At 01:00 AM, on day 29 of the month, only on Tuesday, only in February"
"0 1 3 * *","At 01:00 AM, on day 3 of the month"
"0 1,13 *  * *","At 01:00 AM and 01:00 PM"
"0 1/2 * * * *","Every uneven minute"
"0 10 * * *","At 10:00 AM"
"0 10 * * 1","At 10:00 AM, only on Monday"
"0 10 * * 2-6","At 10:00 AM, Tuesday through Saturday"
"0 10 * * 5","At 10:00 AM, only on Friday"
"0 10,22 * * *","At 10:00 AM and 10:00 PM"
"0 11 * * *","At 11:00 AM"
"0 11 * * 1","At 11:00 AM, only on Monday"
"0 11 * * 5","At 11:00 AM, only on Friday"
"0 11 10 5 *","At 11:00 AM, on day 10 of the month, only in May"
"0 11,13,18 * * 1-5","At 11:00 AM, 01:00 PM and 06:00 PM, Monday through Friday"
"0 12 * * *","At 12:00 PM"
"0 12 * * 2","At 12:00 PM, only on Tuesday"
"0 12 * * 2-6","At 12:00 PM, Tuesday through Saturday"
"0 12 17 * *","At 12:00 PM, on day 17 of the month"
"0 13 * * *","At 01:00 PM"
"0 13 * * 2","At 01:00 PM, only on Tuesday"
"0 13 * * 4","At 01:00 PM, only on Thursday"
"0 13,17 * * *","At 01:00 PM and 05:00 PM"
"0 14 * * *","At 02:00 PM"
"0 14 * * 1","At 02:00 PM, only on Monday"
"0 15 * * *","At 03:00 PM"
"0 15,30,45 * * * *","Every hour at minutes 15, 30 and 45"
"0 16 * * *","At 04:00 PM"
"0 16 * * 1","At 04:00 PM, only on Monday"
"0 16 * * 2-6","At 04:00 PM, Tuesday through Saturday"
"0 17 * * *","At 05:00 PM"
"0 18 * * *","At 06:00 PM"
"0 18 * * 2-6","At 06:00 PM, Tuesday through Saturday"
"0 19 * * *","At 07:00 PM"
"0 19 * * 1","At 07:00 PM, only on Monday"
"0 2 * * *","At 02:00 AM"
"0 2 * * 0","At 02:00 AM, only on Sunday"
"0 2 * * 1","At 02:00 AM, only on Monday"
"0 2 * * 2","At 02:00 AM, only on Tuesday"
"0 2 * * 3","At 02:00 AM, only on Wednesday"
"0 2 * * 6","At 02:00 AM, only on Saturday"
"0 2 */10 * *","At 02:00 AM, every 10 days"
"0 2 10 * *","At 02:00 AM, on day 10 of the month"
"0 2-22/4 * * *","Every 4 hours, between 02:00 AM and 10:59 PM"
"0 20 * * *","At 08:00 PM"
"0 20 * * 1-5","At 08:00 PM, Monday through Friday"
"0 20 * * 3","At 08:00 PM, only on Wednesday"
"0 21 * * *","At 09:00 PM"
"0 21 * * 1","At 09:00 PM, only on Monday"
"0 22 * * *","At 10:00 PM"
"0 23 * * *","At 11:00 PM"
"0 23 * * 1","At 11:00 PM, only on Monday"
"0 3 * * *","At 03:00 AM"
"0 3 * * 0","At 03:00 AM, only on Sunday"
"0 3 * * 1","At 03:00 AM, only on Monday"
"0 3 * * 2","At 03:00 AM, only on Tuesday"
"0 3 * * 3","At 03:00 AM, only on Wednesday"
"0 3 * * 4","At 03:00 AM, only on Thursday"
"0 3 * * 5","At 03:00 AM, only on Friday"
"0 3 12 * *","At 03:00 AM, on day 12 of the month"
"0 4 * * *","At 04:00 AM"
"0 4 * * 0","At 04:00 AM, only on Sunday"
"0 4 * * 1","At 04:00 AM, only on Monday"
"0 4 12 * *","At 04:00 AM, on day 12 of the month"
"0 5 * * *","At 05:00 AM"
"0 5 * * 1","At 05:00 AM, only on Monday"
"0 5 * * 2","At 05:00 AM, only on Tuesday"
"0 5 * * 4","At 05:00 AM, only on Thursday"
"0 6 * * *","At 06:00 AM"
"0 6 * * 0","At 06:00 AM, only on Sunday"
"0 6 * * 1","At 06:00 AM, only on Monday"
"0 6 * * 2","At 06:00 AM, only on Tuesday"
"0 6 * * 2-6","At 06:00 AM, Tuesday through Saturday"
"0 6 * * 3","At 06:00 AM, only on Wednesday"
"0 6 * * 4","At 06:00 AM, only on Thursday"
"0 6 * * 5","At 06:00 AM, only on Friday"
"0 6 * * 6","At 06:00 AM, only on Saturday"
"0 6-18 * * 1-5","Between 06:00 AM and 06:59 PM, Monday through Friday"
"0 7 * * *","At 07:00 AM"
"0 7 * * 1","At 07:00 AM, only on Monday"
"0 7 * * 1-5","At 07:00 AM, Monday through Friday"
"0 7 * * 3","At 07:00 AM, only on Wednesday"
"0 7 2-31 * *","At 07:00 AM, between day 2 and 31 of the month"
"0 7-23,0 * * *","At 07:00 AM through 11:59 PM and 12:00 AM"
"0 8 * * *","At 08:00 AM"
"0 8 * * 1","At 08:00 AM, only on Monday"
"0 8 * * 2-5","At 08:00 AM, Tuesday through Friday"
"0 8 * * 2-6","At 08:00 AM, Tuesday through Saturday"
"0 8 * * 3-7","At 08:00 AM, Wednesday through Sunday"
"0 8 1 * *","At 08:00 AM, on day 1 of the month"
"0 8 1,16 * *","At 08:00 AM, on day 1 and 16 of the month"
"0 8,16 * * *","At 08:00 AM and 04:00 PM"
"0 9 * * *","At 09:00 AM"
"0 9 * * 0","At 09:00 AM, only on Sunday"
"0 9,10,11,12,13,14,15,16,17,18 * * 1-5","At 09:00 AM, 10:00 AM, 11:00 AM, 12:00 PM, 01:00 PM, 02:00 PM, 03:00 PM,  04:00 PM, 05:00 PM and 06:00 PM, Monday through Friday"
"0 9,12 * * *","At 09:00 AM and 12:00 PM"
"0 9,12,18 * * 1-5","At 09:00 AM, 12:00 PM and 06:00 PM, Monday through Friday"
"0 9,13,18 * * 1-5","At 09:00 AM, 01:00 PM and 06:00 PM, Monday through Friday"
"0 9,14,18 * * 1-5","At 09:00 AM, 02:00 PM and 06:00 PM, Monday through Friday"
"0,10,20,30,40,50 * * * *","At 0, 10, 20, 30, 40, and 50 minutes past the hour"
"0,10,20,30,40,50 7-23 * * *","At 0, 10, 20, 30, 40, and 50 minutes past the hour, between 07:00 AM and  11:59 PM"
"0,15,30,45 * * * *","At 0, 15, 30, and 45 minutes past the hour"
"0,20,40 * * * *","At 0, 20, and 40 minutes past the hour"
"0,3 * * * *","At 0 and 3 minutes past the hour"
"0,30 * * * *","At 0 and 30 minutes past the hour"
"0-55/15 * * * *","Every 15 minutes, minutes 0 through 55 past the hour"
"0-55/5 * * * *","Every 5 minutes, minutes 0 through 55 past the hour"
"0-55/5 0-8,18-23 * * *","Every 5 minutes, minutes 0 through 55 past the hour, at 12:00 AM through  08:59 AM and 06:00 PM through 11:59 PM"
"0-59/1 * * * *","Every 1 minutes, minutes 0 through 59 past the hour"
"0-59/10 * * * *","Every 10 minutes, minutes 0 through 59 past the hour"
"0-59/30 * * * *","Every 30 minutes, minutes 0 through 59 past the hour"
"0-59/60 8-20 * * *","Every 60 minutes, minutes 0 through 59 past the hour, between 08:00 AM  and 08:59 PM"
"0/5 * * * *","Every 5 minutes"
"00 */3 * * *","At 00 minutes past the hour, every 3 hours"
"00 00 * * *","At 12:00 AM"
"00 02 * * *","At 02:00 AM"
"00 08 * * *","At 08:00 AM"
"00 09 * * *","At 09:00 AM"
"00 12 * * *","At 12:00 PM"
"00 6 * * *","At 06:00 AM"
"00 7 * * *","At 07:00 AM"
"00 8 * * *","At 08:00 AM"
"00 8,18 * * *","At 08:00 AM and 06:00 PM"
"00 9,21 * * *","At 09:00 AM and 09:00 PM"
"01 * * * *","At 01 minutes past the hour"
"01 00 * * *","At 12:01 AM"
"01 8-16 * * *","At 01 minutes past the hour, between 08:00 AM and 04:59 PM"
"01-46/15 * * * *","Every 15 minutes, minutes 01 through 46 past the hour"
"01-56/5 * * * *","Every 5 minutes, minutes 01 through 56 past the hour"
"01-59/60 * * * *","Every 60 minutes, minutes 01 through 59 past the hour"
"1 * * * *","At 1 minutes past the hour"
"1 * 8 * *","At 1 minutes past the hour, on day 8 of the month"
"1 */2 * * *","At 1 minutes past the hour, every 2 hours"
"1 */2 * * 1-5","At 1 minutes past the hour, every 2 hours, Monday through Friday"
"1 */2 28-30 * *","At 1 minutes past the hour, every 2 hours, between day 28 and 30 of the  month"
"1 */2 6-10 * *","At 1 minutes past the hour, every 2 hours, between day 6 and 10 of the  month"
"1 */3 * * 0,6","At 1 minutes past the hour, every 3 hours, only on Sunday and Saturday"
"1 */4 * * *","At 1 minutes past the hour, every 4 hours"
"1 */8 * * *","At 1 minutes past the hour, every 8 hours"
"1 0 * * *","At 12:01 AM"
"1 0,12,16 * * *","At 12:01 AM, 12:01 PM and 04:01 PM"
"1 0,3,6,9,12,15,18,21 9-11 12 *","At 12:01 AM, 03:01 AM, 06:01 AM, 09:01 AM, 12:01 PM, 03:01 PM, 06:01 PM  and 09:01 PM, between day 9 and 11 of the month, only in December"
"1 0-20/4 * * *","At 1 minutes past the hour, every 4 hours, between 12:00 AM and 08:59 PM"
"1 0-23 * * *","At 1 minutes past the hour, between 12:00 AM and 11:59 PM"
"1 0-23/2 20-22 1 *","At 1 minutes past the hour, every 2 hours, between 12:00 AM and 11:59 PM,  between day 20 and 22 of the month, only in January"
"1 0-23/8 * * *","At 1 minutes past the hour, every 8 hours, between 12:00 AM and 11:59 PM"
"1 03-22 * * *","At 1 minutes past the hour, between 03:00 AM and 10:59 PM"
"1 03-22/2 * * *","At 1 minutes past the hour, every 2 hours, between 03:00 AM and 10:59 PM"
"1 04 * * *","At 04:01 AM"
"1 05 * * *","At 05:01 AM"
"1 1-23/2 6 * *","At 1 minutes past the hour, every 2 hours, between 01:00 AM and 11:59 PM,  on day 6 of the month"
"1 11 * * *","At 11:01 AM"
"1 15 * * *","At 03:01 PM"
"1 20 * * *","At 08:01 PM"
"1 23 * * *","At 11:01 PM"
"1 3 * * *","At 03:01 AM"
"1 5 * * *","At 05:01 AM"
"1 6-12/4 * * 1-5","At 1 minutes past the hour, every 4 hours, between 06:00 AM and 12:59 PM,  Monday through Friday"
"1 6-23/3 * * 0,6","At 1 minutes past the hour, every 3 hours, between 06:00 AM and 11:59 PM,  only on Sunday and Saturday"
"1 8 * * *","At 08:01 AM"
"1,11,21,31,41,51 * * * *","At 1, 11, 21, 31, 41, and 51 minutes past the hour"
"1,11,21,31,41,51/10 0-11 * * *","Every 10 minutes, between 12:00 AM and 11:59 AM"
"1,16,31,46 * * * *","At 1, 16, 31, and 46 minutes past the hour"
"1,21,41 * * * *","At 1, 21, and 41 minutes past the hour"
"1,31 * * * *","At 1 and 31 minutes past the hour"
"1,31 7-21 * * *","At 1 and 31 minutes past the hour, between 07:00 AM and 09:59 PM"
"1,6,11,16,21,26,31,36,41,46,51,56 * * *  1-6","At 1, 6, 11, 16, 21, 26, 31, 36, 41, 46, 51, and 56 minutes past the  hour, Monday through Saturday"
"1,6,11,16,21,26,31,36,41,46,51,56 * * * *","At 1, 6, 11, 16, 21, 26, 31, 36, 41, 46, 51, and 56 minutes past the hour"
"1,8,16,24,32,40,48,56 * * * *","At 1, 8, 16, 24, 32, 40, 48, and 56 minutes past the hour"
"1-31/30 * * * *","Every 30 minutes, minutes 1 through 31 past the hour"
"1-45/15 * * * *","Every 15 minutes, minutes 1 through 45 past the hour"
"1-46/15 * * * *","Every 15 minutes, minutes 1 through 46 past the hour"
"1-46/30 * * * *","Every 30 minutes, minutes 1 through 46 past the hour"
"1-51/10 * * * *","Every 10 minutes, minutes 1 through 51 past the hour"
"1-55/10 * * * *","Every 10 minutes, minutes 1 through 55 past the hour"
"1-56/11 * * * *","Every 11 minutes, minutes 1 through 56 past the hour"
"1-56/15 * * * *","Every 15 minutes, minutes 1 through 56 past the hour"
"1-56/5 * * * *","Every 5 minutes, minutes 1 through 56 past the hour"
"1-56/5 6-20 * * *","Every 5 minutes, minutes 1 through 56 past the hour, between 06:00 AM and  08:59 PM"
"1-57/15 * * * *","Every 15 minutes, minutes 1 through 57 past the hour"
"1-57/5 * * * *","Every 5 minutes, minutes 1 through 57 past the hour"
"1-58/15 * * * *","Every 15 minutes, minutes 1 through 58 past the hour"
"1-58/5 * * * *","Every 5 minutes, minutes 1 through 58 past the hour"
"1-59/1 * * * *","Every 1 minutes, minutes 1 through 59 past the hour"
"1-59/10 * * * *","Every 10 minutes, minutes 1 through 59 past the hour"
"1-59/10 0-19,21-23 * * *","Every 10 minutes, minutes 1 through 59 past the hour, at 12:00 AM through  07:59 PM and 09:00 PM through 11:59 PM"
"1-59/10 4-6 * * *","Every 10 minutes, minutes 1 through 59 past the hour, between 04:00 AM  and 06:59 AM"
"1-59/10 5-7 * * 1-5","Every 10 minutes, minutes 1 through 59 past the hour, between 05:00 AM  and 07:59 AM, Monday through Friday"
"1-59/10 6-20 * * *","Every 10 minutes, minutes 1 through 59 past the hour, between 06:00 AM  and 08:59 PM"
"1-59/15 * * * *","Every 15 minutes, minutes 1 through 59 past the hour"
"1-59/15 * * * 1","Every 15 minutes, minutes 1 through 59 past the hour, only on Monday"
"1-59/15 7-22 * * *","Every 15 minutes, minutes 1 through 59 past the hour, between 07:00 AM  and 10:59 PM"
"1-59/2 * * * *","Every 2 minutes, minutes 1 through 59 past the hour"
"1-59/20 * * * *","Every 20 minutes, minutes 1 through 59 past the hour"
"1-59/3 * * * *","Every 3 minutes, minutes 1 through 59 past the hour"
"1-59/30 * * * *","Every 30 minutes, minutes 1 through 59 past the hour"
"1-59/30 * * * 0-1","Every 30 minutes, minutes 1 through 59 past the hour, Sunday through  Monday"
"1-59/30 03-22 * * *","Every 30 minutes, minutes 1 through 59 past the hour, between 03:00 AM  and 10:59 PM"
"1-59/30 5-7 * * *","Every 30 minutes, minutes 1 through 59 past the hour, between 05:00 AM  and 07:59 AM"
"1-59/45 * * * *","Every 45 minutes, minutes 1 through 59 past the hour"
"1-59/45 * * * 1-5","Every 45 minutes, minutes 1 through 59 past the hour, Monday through  Friday"
"1-59/5 * * * *","Every 5 minutes, minutes 1 through 59 past the hour"
"1-59/60 * * * *","Every 60 minutes, minutes 1 through 59 past the hour"
"02 00 * * *","At 12:02 AM"
"02-47/15 * * * *","Every 15 minutes, minutes 02 through 47 past the hour"
"02-57/15 * * * *","Every 15 minutes, minutes 02 through 57 past the hour"
"02-57/5 * * * *","Every 5 minutes, minutes 02 through 57 past the hour"
"2 * * * *","At 2 minutes past the hour"
"2 * * * 0,6","At 2 minutes past the hour, only on Sunday and Saturday"
"2 * * * 1-5","At 2 minutes past the hour, Monday through Friday"
"2 */1 * * *","At 2 minutes past the hour"
"2 */12 * * *","At 2 minutes past the hour, every 12 hours"
"2 0 * * *","At 12:02 AM"
"2 0 1 6 *","At 12:02 AM, on day 1 of the month, only in June"
"2 0 29 6 *","At 12:02 AM, on day 29 of the month, only in June"
"2 0,2,20,22 18,19 1 *","At 12:02 AM, 02:02 AM, 08:02 PM and 10:02 PM, on day 18 and 19 of the  month, only in January"
"2 0-21/3 3-5 3 6,0,1","At 2 minutes past the hour, every 3 hours, between 12:00 AM and 09:59 PM,  between day 3 and 5 of the month, only on Saturday, Sunday, and Monday, only  in March"
"2 0-22 11-15 5 0-3,6","At 2 minutes past the hour, between 12:00 AM and 10:59 PM, between day 11  and 15 of the month, only on Sunday through Wednesday and Saturday, only in  May"
"2 0-22/2 * * *","At 2 minutes past the hour, every 2 hours, between 12:00 AM and 10:59 PM"
"2 0-23 * * 0,1","At 2 minutes past the hour, between 12:00 AM and 11:59 PM, only on Sunday  and Monday"
"2 0-23 4-5 3 0,1","At 2 minutes past the hour, between 12:00 AM and 11:59 PM, between day 4  and 5 of the month, only on Sunday and Monday, only in March"
