"cron_schedule","cron_schedule_described"
"2 8 * * *","At 08:02 AM"
"2,12,22,32,42,52 * * * *","At 2, 12, 22, 32, 42, and 52 minutes past the hour"
"2,17,32,47 * * * *","At 2, 17, 32, and 47 minutes past the hour"
"2,17,32,47 10-23 * * 1-5","At 2, 17, 32, and 47 minutes past the hour, between 10:00 AM and 11:59  PM, Monday through Friday"
"2,17,32,47 6-21 * * *","At 2, 17, 32, and 47 minutes past the hour, between 06:00 AM and 09:59 PM"
"2,30 * * * *","At 2 and 30 minutes past the hour"
"2,32 * * * *","At 2 and 32 minutes past the hour"
"2,32 * * * 1-5","At 2 and 32 minutes past the hour, Monday through Friday"
"2,32 7-20 * * 1-5","At 2 and 32 minutes past the hour, between 07:00 AM and 08:59 PM, Monday  through Friday"
"2,32 8-22 * * *","At 2 and 32 minutes past the hour, between 08:00 AM and 10:59 PM"
"2,7,12,17,22,27,32,37,42,47,52,57 * * * *","At 2, 7, 12, 17, 22, 27, 32, 37, 42, 47, 52, and 57 minutes past the hour"
"2,7,32,47 * * * 1-6","At 2, 7, 32, and 47 minutes past the hour, Monday through Saturday"
"2-32/30 * * * *","Every 30 minutes, minutes 2 through 32 past the hour"
"2-32/30 9-22 * * 1-5","Every 30 minutes, minutes 2 through 32 past the hour, between 09:00 AM  and 10:59 PM, Monday through Friday"
"2-41/20 * * * *","Every 20 minutes, minutes 2 through 41 past the hour"
"2-45/15 * * * *","Every 15 minutes, minutes 2 through 45 past the hour"
"2-46/15 * * * *","Every 15 minutes, minutes 2 through 46 past the hour"
"2-46/30 * * * *","Every 30 minutes, minutes 2 through 46 past the hour"
"2-47/15 * * * *","Every 15 minutes, minutes 2 through 47 past the hour"
"2-47/5 * * * *","Every 5 minutes, minutes 2 through 47 past the hour"
"2-5/15 * * * *","Every 15 minutes, minutes 2 through 5 past the hour"
"2-51/10 * * * *","Every 10 minutes, minutes 2 through 51 past the hour"
"2-52/10 * * * *","Every 10 minutes, minutes 2 through 52 past the hour"
"2-52/60 * * * *","Every 60 minutes, minutes 2 through 52 past the hour"
"2-55/5 * * * *","Every 5 minutes, minutes 2 through 55 past the hour"
"2-56/5 * * * *","Every 5 minutes, minutes 2 through 56 past the hour"
"2-57/10 * * * *","Every 10 minutes, minutes 2 through 57 past the hour"
"2-57/11 * * * *","Every 11 minutes, minutes 2 through 57 past the hour"
"2-57/15 * * * *","Every 15 minutes, minutes 2 through 57 past the hour"
"2-57/15 7-22 * * *","Every 15 minutes, minutes 2 through 57 past the hour, between 07:00 AM  and 10:59 PM"
"2-57/30 * * * *","Every 30 minutes, minutes 2 through 57 past the hour"
"2-57/5 * * * *","Every 5 minutes, minutes 2 through 57 past the hour"
"2-57/5 7-22 * * *","Every 5 minutes, minutes 2 through 57 past the hour, between 07:00 AM and  10:59 PM"
"2-57/5 9-22 * * *","Every 5 minutes, minutes 2 through 57 past the hour, between 09:00 AM and  10:59 PM"
"2-57/60 * * * *","Every 60 minutes, minutes 2 through 57 past the hour"
"2-58/10 * * * *","Every 10 minutes, minutes 2 through 58 past the hour"
"2-58/10 2-19 * * 1-5","Every 10 minutes, minutes 2 through 58 past the hour, between 02:00 AM  and 07:59 PM, Monday through Friday"
"2-58/15 * * * *","Every 15 minutes, minutes 2 through 58 past the hour"
"2-58/15 9-23 * * *","Every 15 minutes, minutes 2 through 58 past the hour, between 09:00 AM  and 11:59 PM"
"2-58/2 * * * *","Every 2 minutes, minutes 2 through 58 past the hour"
"2-58/20 * * * *","Every 20 minutes, minutes 2 through 58 past the hour"
"2-58/30 * * * *","Every 30 minutes, minutes 2 through 58 past the hour"
"2-58/5 * * * *","Every 5 minutes, minutes 2 through 58 past the hour"
"2-58/5 3-18 * * 1-5","Every 5 minutes, minutes 2 through 58 past the hour, between 03:00 AM and  06:59 PM, Monday through Friday"
"2-58/5 3-19 * * 1-5","Every 5 minutes, minutes 2 through 58 past the hour, between 03:00 AM and  07:59 PM, Monday through Friday"
"2-58/6 * * * *","Every 6 minutes, minutes 2 through 58 past the hour"
"2-59/10 * * * *","Every 10 minutes, minutes 2 through 59 past the hour"
"2-59/15 * * * *","Every 15 minutes, minutes 2 through 59 past the hour"
"2-59/15 18-22 * * *","Every 15 minutes, minutes 2 through 59 past the hour, between 06:00 PM  and 10:59 PM"
"2-59/15 19-23,0-8 * * *","Every 15 minutes, minutes 2 through 59 past the hour, at 07:00 PM through  11:59 PM and 12:00 AM through 08:59 AM"
"2-59/15 22,23,0,1,2 * * *","Every 15 minutes, minutes 2 through 59 past the hour, at 10:00 PM, 11:00  PM, 12:00 AM, 01:00 AM, and 02:00 AM"
"2-59/15 8-20 * * *","Every 15 minutes, minutes 2 through 59 past the hour, between 08:00 AM  and 08:59 PM"
"2-59/2 * * * *","Every 2 minutes, minutes 2 through 59 past the hour"
"2-59/20 * * * *","Every 20 minutes, minutes 2 through 59 past the hour"
"2-59/30 * * * *","Every 30 minutes, minutes 2 through 59 past the hour"
"2-59/30 15-23,0-3 * * *","Every 30 minutes, minutes 2 through 59 past the hour, at 03:00 PM through  11:59 PM and 12:00 AM through 03:59 AM"
"2-59/30 9-17 * * 2-6","Every 30 minutes, minutes 2 through 59 past the hour, between 09:00 AM  and 05:59 PM, Tuesday through Saturday"
"2-59/5 * * * *","Every 5 minutes, minutes 2 through 59 past the hour"
"2-59/5 8-19 * * 1-5","Every 5 minutes, minutes 2 through 59 past the hour, between 08:00 AM and  07:59 PM, Monday through Friday"
"2-59/6 * * * *","Every 6 minutes, minutes 2 through 59 past the hour"
"03 * * * *","At 03 minutes past the hour"
"03 0 * * *","At 12:03 AM"
"03 1 * * *","At 01:03 AM"
"03 8 * * *","At 08:03 AM"
"03-33/30 9-18 * * 6","Every 30 minutes, minutes 03 through 33 past the hour, between 09:00 AM  and 06:59 PM, only on Saturday"
"03-48/15 * * * *","Every 15 minutes, minutes 03 through 48 past the hour"
"03-58/5 * * * *","Every 5 minutes, minutes 03 through 58 past the hour"
"3 * * * *","At 3 minutes past the hour"
"3 */3 * * *","At 3 minutes past the hour, every 3 hours"
"3 */4 * * *","At 3 minutes past the hour, every 4 hours"
"3 */4 * * 1-5","At 3 minutes past the hour, every 4 hours, Monday through Friday"
"3 */8 * * *","At 3 minutes past the hour, every 8 hours"
"3 0 * * *","At 12:03 AM"
"3 0 * * 1-5","At 12:03 AM, Monday through Friday"
"3 0-18/2 24 10 3","At 3 minutes past the hour, every 2 hours, between 12:00 AM and 06:59 PM,  on day 24 of the month, only on Wednesday, only in October"
"3 0-22/2 26-30 10 *","At 3 minutes past the hour, every 2 hours, between 12:00 AM and 10:59 PM,  between day 26 and 30 of the month, only in October"
"3 0-22/2 6-10 4 0-3,6","At 3 minutes past the hour, every 2 hours, between 12:00 AM and 10:59 PM,  between day 6 and 10 of the month, only on Sunday through Wednesday and  Saturday, only in April"
"3 03-22 * * *","At 3 minutes past the hour, between 03:00 AM and 10:59 PM"
"3 04 * * *","At 04:03 AM"
"3 1,3 * * *","At 01:03 AM and 03:03 AM"
"3 2 * * *","At 02:03 AM"
"3 21,4 * * *","At 09:03 PM and 04:03 AM"
"3 23 * * *","At 11:03 PM"
"3 3 * * *","At 03:03 AM"
"3 4 * * *","At 04:03 AM"
"3 4-18 * * 1-5","At 3 minutes past the hour, between 04:00 AM and 06:59 PM, Monday through  Friday"
"3 6 * * *","At 06:03 AM"
"3 6-23 * * *","At 3 minutes past the hour, between 06:00 AM and 11:59 PM"
"3 7 * * *","At 07:03 AM"
"3 7-23 * * *","At 3 minutes past the hour, between 07:00 AM and 11:59 PM"
"3 7-23 * * 1-6","At 3 minutes past the hour, between 07:00 AM and 11:59 PM, Monday through  Saturday"
"3 7-23/12 * * *","At 3 minutes past the hour, every 12 hours, between 07:00 AM and 11:59 PM"
"3 9-21 * * *","At 3 minutes past the hour, between 09:00 AM and 09:59 PM"
"3,13,23,33,43,53 * * * *","At 3, 13, 23, 33, 43, and 53 minutes past the hour"
"3,18,33,48  0,1,2,3,4,5,6,7,9,10,11,12,13,14,15,16,17,18,19,20 * * 1-5","At 3, 18, 33, and 48 minutes past the hour, at 12:00 AM, 01:00 AM, 02:00  AM, 03:00 AM, 04:00 AM, 05:00 AM, 06:00 AM, 07:00 AM, 09:00 AM, 10:00 AM,  11:00 AM, 12:00 PM, 01:00 PM, 02:00 PM, 03:00 PM, 04:00 PM, 05:00 PM, 06:00  PM, 07:00 PM, and 08:00 PM, Monday through Friday"
"3,18,33,48 * * * *","At 3, 18, 33, and 48 minutes past the hour"
"3,33 * * * *","At 3 and 33 minutes past the hour"
"3,33 * * * 6-7","At 3 and 33 minutes past the hour, Saturday through Sunday"
"3,33 7-18 * * *","At 3 and 33 minutes past the hour, between 07:00 AM and 06:59 PM"
"3,8,13,18,23,28,33,38,43,48,53,58  * * * *","At 3, 8, 13, 18, 23, 28, 33, 38, 43, 48, 53, and 58 minutes  past the hour"
"3,8,13,18,23,28,33,38,43,48,53,58 * * *  1-6","At 3, 8, 13, 18, 23, 28, 33, 38, 43, 48, 53, and 58 minutes past the  hour, Monday through Saturday"
"3,8,13,18,23,28,33,38,43,48,53,58 * * * *","At 3, 8, 13, 18, 23, 28, 33, 38, 43, 48, 53, and 58 minutes past the hour"
"3-3/5 * * * *","Every 5 minutes, minutes 3 through 3 past the hour"
"3-33/30 * * * *","Every 30 minutes, minutes 3 through 33 past the hour"
"3-33/30 7-23,0 * * 1-5","Every 30 minutes, minutes 3 through 33 past the hour, at 07:00 AM through  11:59 PM and 12:00 AM, Monday through Friday"
"3-46/15 * * * *","Every 15 minutes, minutes 3 through 46 past the hour"
"3-48/15 * * * *","Every 15 minutes, minutes 3 through 48 past the hour"
"3-51/10 * * * *","Every 10 minutes, minutes 3 through 51 past the hour"
"3-52/30 * * * *","Every 30 minutes, minutes 3 through 52 past the hour"
"3-53/10 * * * *","Every 10 minutes, minutes 3 through 53 past the hour"
"3-53/30 * * * *","Every 30 minutes, minutes 3 through 53 past the hour"
"3-57/10 * * * *","Every 10 minutes, minutes 3 through 57 past the hour"
"3-57/15 * * * *","Every 15 minutes, minutes 3 through 57 past the hour"
"3-57/15 4-7 * * *","Every 15 minutes, minutes 3 through 57 past the hour, between 04:00 AM  and 07:59 AM"
"3-57/30 * * * *","Every 30 minutes, minutes 3 through 57 past the hour"
"3-57/5 * * * *","Every 5 minutes, minutes 3 through 57 past the hour"
"3-58/10 * * * *","Every 10 minutes, minutes 3 through 58 past the hour"
"3-58/11 * * * *","Every 11 minutes, minutes 3 through 58 past the hour"
"3-58/15 * * * *","Every 15 minutes, minutes 3 through 58 past the hour"
"3-58/15 6-22 * * *","Every 15 minutes, minutes 3 through 58 past the hour, between 06:00 AM  and 10:59 PM"
"3-58/30 6-22 * * *","Every 30 minutes, minutes 3 through 58 past the hour, between 06:00 AM  and 10:59 PM"
"3-58/5 * * * *","Every 5 minutes, minutes 3 through 58 past the hour"
"3-58/5 4-20 * * *","Every 5 minutes, minutes 3 through 58 past the hour, between 04:00 AM and  08:59 PM"
"3-58/5 6-20 * * *","Every 5 minutes, minutes 3 through 58 past the hour, between 06:00 AM and  08:59 PM"
"3-58/5 7-22 * * *","Every 5 minutes, minutes 3 through 58 past the hour, between 07:00 AM and  10:59 PM"
"3-58/5 9-21 * * 1-5","Every 5 minutes, minutes 3 through 58 past the hour, between 09:00 AM and  09:59 PM, Monday through Friday"
"3-59/10 * * * *","Every 10 minutes, minutes 3 through 59 past the hour"
"3-59/15 * * * *","Every 15 minutes, minutes 3 through 59 past the hour"
"3-59/15 * * * 1-6","Every 15 minutes, minutes 3 through 59 past the hour, Monday through  Saturday"
"3-59/15 2-7 * * 1-6","Every 15 minutes, minutes 3 through 59 past the hour, between 02:00 AM  and 07:59 AM, Monday through Saturday"
"3-59/15 6-8 * * *","Every 15 minutes, minutes 3 through 59 past the hour, between 06:00 AM  and 08:59 AM"
"3-59/3 * * * *","Every 3 minutes, minutes 3 through 59 past the hour"
"3-59/30 * * * *","Every 30 minutes, minutes 3 through 59 past the hour"
"3-59/45 * * * *","Every 45 minutes, minutes 3 through 59 past the hour"
"3-59/5 * * * *","Every 5 minutes, minutes 3 through 59 past the hour"
"3-59/5 3-5 * * 1-6","Every 5 minutes, minutes 3 through 59 past the hour, between 03:00 AM and  05:59 AM, Monday through Saturday"
"3-59/5 8-22 * * 1-5","Every 5 minutes, minutes 3 through 59 past the hour, between 08:00 AM and  10:59 PM, Monday through Friday"
"3-59/5 9-16 * * 0","Every 5 minutes, minutes 3 through 59 past the hour, between 09:00 AM and  04:59 PM, only on Sunday"
"3-59/5 9-20 * * 6","Every 5 minutes, minutes 3 through 59 past the hour, between 09:00 AM and  08:59 PM, only on Saturday"
"3-59/59 * * * *","Every 59 minutes, minutes 3 through 59 past the hour"
"04-44/30 10-15 * * 0","Every 30 minutes, minutes 04 through 44 past the hour, between 10:00 AM  and 03:59 PM, only on Sunday"
"04-49/15 * * * *","Every 15 minutes, minutes 04 through 49 past the hour"
"04-59/5 * * * *","Every 5 minutes, minutes 04 through 59 past the hour"
"4 * * * *","At 4 minutes past the hour"
"4 * * * 0,6","At 4 minutes past the hour, only on Sunday and Saturday"
"4 * * * 1-5","At 4 minutes past the hour, Monday through Friday"
"4 */1 * * *","At 4 minutes past the hour"
"4 0 * * *","At 12:04 AM"
"4 0-8/2 * * *","At 4 minutes past the hour, every 2 hours, between 12:00 AM and 08:59 AM"
"4 09 * * *","At 09:04 AM"
"4 1 * * *","At 01:04 AM"
"4 2 * * *","At 02:04 AM"
"4 3 * * *","At 03:04 AM"
"4 3-23 * * *","At 4 minutes past the hour, between 03:00 AM and 11:59 PM"
"4 5 * * *","At 05:04 AM"
"4 6 * * *","At 06:04 AM"
"4 7 * * *","At 07:04 AM"
"4 8 * * *","At 08:04 AM"
"4 8-23/5 * * *","At 4 minutes past the hour, every 5 hours, between 08:00 AM and 11:59 PM"
"4,14,24,34,44,54 * * * *","At 4, 14, 24, 34, 44, and 54 minutes past the hour"
"4,14,24,34,44,54/10 * * * *","Every 10 minutes"
"4,19,34,49 * * * *","At 4, 19, 34, and 49 minutes past the hour"
"4,34 * * * *","At 4 and 34 minutes past the hour"
"4,9,14,19,24,29,3,39,44,49,54,59 * * * *","At 4, 9, 14, 19, 24, 29, 3, 39, 44, 49, 54, and 59 minutes past the hour"
"4,9,14,19,24,29,34,39,44,49,54,59 * * * *","At 4, 9, 14, 19, 24, 29, 34, 39, 44, 49, 54, and 59 minutes past the hour"
"4-34/15 * * * *","Every 15 minutes, minutes 4 through 34 past the hour"
"4-34/30 * * * *","Every 30 minutes, minutes 4 through 34 past the hour"
"4-34/5 * * * *","Every 5 minutes, minutes 4 through 34 past the hour"
"4-45/15 * * * *","Every 15 minutes, minutes 4 through 45 past the hour"
"4-46/15 * * * *","Every 15 minutes, minutes 4 through 46 past the hour"
"4-49/15 * * * *","Every 15 minutes, minutes 4 through 49 past the hour"
"4-51/10 * * * *","Every 10 minutes, minutes 4 through 51 past the hour"
"4-54/10 * * * *","Every 10 minutes, minutes 4 through 54 past the hour"
"4-56/15 * * * *","Every 15 minutes, minutes 4 through 56 past the hour"
"4-56/3 * * * *","Every 3 minutes, minutes 4 through 56 past the hour"
"4-56/5 * * * *","Every 5 minutes, minutes 4 through 56 past the hour"
"4-56/5 7-23 * * *","Every 5 minutes, minutes 4 through 56 past the hour, between 07:00 AM and  11:59 PM"
"4-57/10 * * * *","Every 10 minutes, minutes 4 through 57 past the hour"
"4-58/15 * * * *","Every 15 minutes, minutes 4 through 58 past the hour"
"4-58/5 * * * *","Every 5 minutes, minutes 4 through 58 past the hour"
"4-59/10 * * * *","Every 10 minutes, minutes 4 through 59 past the hour"
"4-59/11 * * * *","Every 11 minutes, minutes 4 through 59 past the hour"
"4-59/15 * * * *","Every 15 minutes, minutes 4 through 59 past the hour"
"4-59/20 * * * *","Every 20 minutes, minutes 4 through 59 past the hour"
"4-59/30 * * * *","Every 30 minutes, minutes 4 through 59 past the hour"
"4-59/5 * * * *","Every 5 minutes, minutes 4 through 59 past the hour"
"4-59/60 * * * *","Every 60 minutes, minutes 4 through 59 past the hour"
"05 * * * *","At 05 minutes past the hour"
"05 */6 * * *","At 05 minutes past the hour, every 6 hours"
"05 08 * * *","At 08:05 AM"
"05 09 * * 1","At 09:05 AM, only on Monday"
"05 1 * * *","At 01:05 AM"
"05 11 * * *","At 11:05 AM"
"05 2 * * 1","At 02:05 AM, only on Monday"
"05 21 * * *","At 09:05 PM"
"05-35/30 * * * *","Every 30 minutes, minutes 05 through 35 past the hour"
"05-55/15 * * * *","Every 15 minutes, minutes 05 through 55 past the hour"
"5 * * * *","At 5 minutes past the hour"
"5 */2 * * *","At 5 minutes past the hour, every 2 hours"
"5 */4 * * *","At 5 minutes past the hour, every 4 hours"
"5 0 * * *","At 12:05 AM"
"5 0 * * 2","At 12:05 AM, only on Tuesday"
"5 0 1 * *","At 12:05 AM, on day 1 of the month"
"5 0,2,4,6,8,11,14,16,18,20,22 * * *","At 12:05 AM, 02:05 AM, 04:05 AM, 06:05 AM, 08:05 AM, 11:05 AM, 02:05 PM,  04:05 PM, 06:05 PM, 08:05 PM and 10:05 PM"
"5 0,4,8,12,16,20 * * *","At 12:05 AM, 04:05 AM, 08:05 AM, 12:05 PM, 04:05 PM and 08:05 PM"
"5 0-23/4 * * *","At 5 minutes past the hour, every 4 hours, between 12:00 AM and 11:59 PM"
"5 10 * * 2-6","At 10:05 AM, Tuesday through Saturday"
"5 10,12,14,16,18,20 * * *","At 10:05 AM, 12:05 PM, 02:05 PM, 04:05 PM, 06:05 PM and 08:05 PM"
"5 11 * * *","At 11:05 AM"
"5 12 * * *","At 12:05 PM"
"5 16 * * 1-5","At 04:05 PM, Monday through Friday"
"5 2 * * 1","At 02:05 AM, only on Monday"
"5 3 * * *","At 03:05 AM"
"5 4 * * *","At 04:05 AM"
"5 4,12,18 * * *","At 04:05 AM, 12:05 PM and 06:05 PM"
"5 5 * * *","At 05:05 AM"
"5 5-8 * * *","At 5 minutes past the hour, between 05:00 AM and 08:59 AM"
"5 6 * * *","At 06:05 AM"
"5 6-19 * * 1-5","At 5 minutes past the hour, between 06:00 AM and 07:59 PM, Monday through  Friday"
"5 6-23 * * *","At 5 minutes past the hour, between 06:00 AM and 11:59 PM"
"5 7 * * *","At 07:05 AM"
"5 8 * * 2-6","At 08:05 AM, Tuesday through Saturday"
"5 8,18 * * *","At 08:05 AM and 06:05 PM"
"5 8-12 * * *","At 5 minutes past the hour, between 08:00 AM and 12:59 PM"
"5 9,21 * * *","At 09:05 AM and 09:05 PM"
"5,15,25,35,45,55 * * * *","At 5, 15, 25, 35, 45, and 55 minutes past the hour"
"5,15,35,50 * * * *","At 5, 15, 35, and 50 minutes past the hour"
"5,20,35,50  0,1,2,3,4,5,6,7,10,11,12,13,14,15,16,17,18,19,20 * * 1-5","At 5, 20, 35, and 50 minutes past the hour, at 12:00 AM, 01:00 AM, 02:00  AM, 03:00 AM, 04:00 AM, 05:00 AM, 06:00 AM, 07:00 AM, 10:00 AM, 11:00 AM,  12:00 PM, 01:00 PM, 02:00 PM, 03:00 PM, 04:00 PM, 05:00 PM, 06:00 PM, 07:00  PM, and 08:00 PM, Monday through Friday"
"5,20,35,50 * * * *","At 5, 20, 35, and 50 minutes past the hour"
"5,20,35,50  * * * *","At 5, 20, 35, and 50 minutes past the hour"
"5,25,45 * * * *","At 5, 25, and 45 minutes past the hour"
"5,35  0,1,2,3,4,5,6,7,10,11,12,13,14,15,16,17,18,19,20 * * 1-5","At 5 and 35 minutes past the hour, at 12:00 AM, 01:00 AM, 02:00 AM, 03:00  AM, 04:00 AM, 05:00 AM, 06:00 AM, 07:00 AM, 10:00 AM, 11:00 AM, 12:00 PM,  01:00 PM, 02:00 PM, 03:00 PM, 04:00 PM, 05:00 PM, 06:00 PM, 07:00 PM, and  08:00 PM, Monday through Friday"
"5,35 * * * *","At 5 and 35 minutes past the hour"
"5,35 8-23 * * *","At 5 and 35 minutes past the hour, between 08:00 AM and 11:59 PM"
"5-36/30 * * * *","Every 30 minutes, minutes 5 through 36 past the hour"
"5-46/15 * * * *","Every 15 minutes, minutes 5 through 46 past the hour"
"5-49/11 * * * *","Every 11 minutes, minutes 5 through 49 past the hour"
"5-50/15 * * * *","Every 15 minutes, minutes 5 through 50 past the hour"
"5-51/10 * * * *","Every 10 minutes, minutes 5 through 51 past the hour"
"5-55/10 * * * *","Every 10 minutes, minutes 5 through 55 past the hour"
"5-55/15 * * * *","Every 15 minutes, minutes 5 through 55 past the hour"
"5-56/10 * * * *","Every 10 minutes, minutes 5 through 56 past the hour"
"5-56/15 * * * *","Every 15 minutes, minutes 5 through 56 past the hour"
"5-59/10 7-22 * * *","Every 10 minutes, minutes 5 through 59 past the hour, between 07:00 AM  and 10:59 PM"
"5-59/15 * * * *","Every 15 minutes, minutes 5 through 59 past the hour"
"5-59/2 * * * *","Every 2 minutes, minutes 5 through 59 past the hour"
"5-59/3 * * * *","Every 3 minutes, minutes 5 through 59 past the hour"
"5-59/5 * * * *","Every 5 minutes, minutes 5 through 59 past the hour"
"5-59/5 * * * 1-5","Every 5 minutes, minutes 5 through 59 past the hour, Monday through  Friday"
"5-59/6 8-20 * * *","Every 6 minutes, minutes 5 through 59 past the hour, between 08:00 AM and  08:59 PM"
"06 * * * *","At 06 minutes past the hour"
"06-36/30 * * * *","Every 30 minutes, minutes 06 through 36 past the hour"
"06-51/15 * * * *","Every 15 minutes, minutes 06 through 51 past the hour"
"06-56/10 * * * *","Every 10 minutes, minutes 06 through 56 past the hour"
"06-56/5 * * * *","Every 5 minutes, minutes 06 through 56 past the hour"
"6 * * * *","At 6 minutes past the hour"
"6 */2 * * *","At 6 minutes past the hour, every 2 hours"
"6 */4 * * *","At 6 minutes past the hour, every 4 hours"
"6 0 * * *","At 12:06 AM"
"6 0,8,16 * * *","At 12:06 AM, 08:06 AM and 04:06 PM"
"6 0-23 * * *","At 6 minutes past the hour, between 12:00 AM and 11:59 PM"
"6 1 * * 1-5","At 01:06 AM, Monday through Friday"
"6 10 * * *","At 10:06 AM"
"6 2 * * *","At 02:06 AM"
"6 5 * * *","At 05:06 AM"
"6 6,18 * * *","At 06:06 AM and 06:06 PM"
"6 9 * * *","At 09:06 AM"
"6,11,16,21,26,31,36,41,46,51,56 * * * *","At 6, 11, 16, 21, 26, 31, 36, 41, 46, 51, and 56 minutes past the hour"
"6,16,26,36,46,56 * * * *","At 6, 16, 26, 36, 46, and 56 minutes past the hour"
"6,36 * * * *","At 6 and 36 minutes past the hour"
"6,36 06-22 23-24 * *","At 6 and 36 minutes past the hour, between 06:00 AM and 10:59 PM, between  day 23 and 24 of the month"
"6-15/15 * * * *","Every 15 minutes, minutes 6 through 15 past the hour"
"6-36/30 * * * *","Every 30 minutes, minutes 6 through 36 past the hour"
"6-41/20 * * * *","Every 20 minutes, minutes 6 through 41 past the hour"
"6-45/15 * * * *","Every 15 minutes, minutes 6 through 45 past the hour"
"6-46/15 * * * *","Every 15 minutes, minutes 6 through 46 past the hour"
"6-46/15 * * * 6,0","Every 15 minutes, minutes 6 through 46 past the hour, only on Saturday  and Sunday"
"6-49/15 * * * *","Every 15 minutes, minutes 6 through 49 past the hour"
"6-50/11 * * * *","Every 11 minutes, minutes 6 through 50 past the hour"
"6-51/10 * * * *","Every 10 minutes, minutes 6 through 51 past the hour"
"6-51/15 * * * *","Every 15 minutes, minutes 6 through 51 past the hour"
"6-51/20 * * * *","Every 20 minutes, minutes 6 through 51 past the hour"
"6-56/10 * * * *","Every 10 minutes, minutes 6 through 56 past the hour"
"6-56/5 * * * *","Every 5 minutes, minutes 6 through 56 past the hour"
"6-59/10 * * * *","Every 10 minutes, minutes 6 through 59 past the hour"
"6-59/15 * * * *","Every 15 minutes, minutes 6 through 59 past the hour"
"6-59/20 * * * *","Every 20 minutes, minutes 6 through 59 past the hour"
"6-59/30 * * * *","Every 30 minutes, minutes 6 through 59 past the hour"
"6-59/5 * * * *","Every 5 minutes, minutes 6 through 59 past the hour"
"07 22 * * *","At 10:07 PM"
"07-52/15 * * * *","Every 15 minutes, minutes 07 through 52 past the hour"
"07-57/10 * * * *","Every 10 minutes, minutes 07 through 57 past the hour"
"07-57/5 * * * *","Every 5 minutes, minutes 07 through 57 past the hour"
"7 * * * *","At 7 minutes past the hour"
"7 */1 * * *","At 7 minutes past the hour"
"7 */2 * * *","At 7 minutes past the hour, every 2 hours"
"7 */4 * * *","At 7 minutes past the hour, every 4 hours"
"7 0 * * *","At 12:07 AM"
"7 0,4,8,12,16,20 * * *","At 12:07 AM, 04:07 AM, 08:07 AM, 12:07 PM, 04:07 PM and 08:07 PM"
"7 0-18/2 21-24 7 *","At 7 minutes past the hour, every 2 hours, between 12:00 AM and 06:59 PM,  between day 21 and 24 of the month, only in July"
"7 0-23/2 * * *","At 7 minutes past the hour, every 2 hours, between 12:00 AM and 11:59 PM"
"7 0-23/4 * * *","At 7 minutes past the hour, every 4 hours, between 12:00 AM and 11:59 PM"
"7 0-23/8 * * *","At 7 minutes past the hour, every 8 hours, between 12:00 AM and 11:59 PM"
"7 2 * * *","At 02:07 AM"
"7 6 * * *","At 06:07 AM"
"7 7 * * *","At 07:07 AM"
"7,17,27,37,47,57 * * * *","At 7, 17, 27, 37, 47, and 57 minutes past the hour"
"7-37/30 * * * *","Every 30 minutes, minutes 7 through 37 past the hour"
"7-45/15 * * * *","Every 15 minutes, minutes 7 through 45 past the hour"
"7-46/15 * * * *","Every 15 minutes, minutes 7 through 46 past the hour"
"7-51/10 * * * *","Every 10 minutes, minutes 7 through 51 past the hour"
"7-51/10 * * * 1-5","Every 10 minutes, minutes 7 through 51 past the hour, Monday through  Friday"
"7-51/11 * * * *","Every 11 minutes, minutes 7 through 51 past the hour"
"7-52/15 * * * *","Every 15 minutes, minutes 7 through 52 past the hour"
"7-57/10 * * * *","Every 10 minutes, minutes 7 through 57 past the hour"
"7-57/5 * * * *","Every 5 minutes, minutes 7 through 57 past the hour"
"7-59/10 * * * *","Every 10 minutes, minutes 7 through 59 past the hour"
"7-59/15 * * * *","Every 15 minutes, minutes 7 through 59 past the hour"
"7-59/5 * * * *","Every 5 minutes, minutes 7 through 59 past the hour"
"7-59/5 7-20 * * 1-5","Every 5 minutes, minutes 7 through 59 past the hour, between 07:00 AM and  08:59 PM, Monday through Friday"
"08-53/15 * * * *","Every 15 minutes, minutes 08 through 53 past the hour"
"08-58/5 * * * *","Every 5 minutes, minutes 08 through 58 past the hour"
"8 * * * *","At 8 minutes past the hour"
"8 */1 * * *","At 8 minutes past the hour"
"8 */2 * * *","At 8 minutes past the hour, every 2 hours"
"8 */4 * * *","At 8 minutes past the hour, every 4 hours"
"8 0 * * *","At 12:08 AM"
"8 0,4,8,12,16,20 * * *","At 12:08 AM, 04:08 AM, 08:08 AM, 12:08 PM, 04:08 PM and 08:08 PM"
"8 0,8,16 * * *","At 12:08 AM, 08:08 AM and 04:08 PM"
"8 0-18/2 28-30,1 4,5 6,0,1,2","At 8 minutes past the hour, every 2 hours, between 12:00 AM and 06:59 PM,  on day 28 through 30 and 1 of the month, only on Saturday, Sunday, Monday,  and Tuesday, only in April and May"
"8 0-23/2 * * *","At 8 minutes past the hour, every 2 hours, between 12:00 AM and 11:59 PM"
"8 01 * * *","At 01:08 AM"
"8 3 * * *","At 03:08 AM"
"8 6 * * *","At 06:08 AM"
"8 7 * * *","At 07:08 AM"
"8 8 * * *","At 08:08 AM"
"8,17,26,37,48,59 * * * *","At 8, 17, 26, 37, 48, and 59 minutes past the hour"
"8,18,28,38,48,58 * * * *","At 8, 18, 28, 38, 48, and 58 minutes past the hour"
"8,23,38,53 * * * *","At 8, 23, 38, and 53 minutes past the hour"
